16/1/2021 0:00,1054663.55,1009,2,16,9,289
16/1/2021 1:00,1036513.55,1008,2,18,9,288
16/1/2021 2:00,1019463.55,1008,3,20,8,288
16/1/2021 3:00,1006263.55,1008,3,22,7,288
16/1/2021 4:00,999663.553,1008,2,22,6,281
16/1/2021 5:00,995813.553,1009,2,22,6,275
16/1/2021 6:00,984813.553,1009,1,24,5,268
16/1/2021 7:00,984813.553,1010,1,24,5,259
16/1/2021 8:00,999663.553,1010,0,24,6,249
16/1/2021 9:00,1012863.55,1011,0,26,6,240
16/1/2021 10:00,1027163.55,1011,0,26,8,246
16/1/2021 11:00,1028263.55,1011,0,26,11,253
16/1/2021 12:00,1028263.55,1010,0,26,14,259
16/1/2021 13:00,1028813.55,1009,0,26,16,268
16/1/2021 14:00,1029913.55,1009,0,24,18,277
16/1/2021 15:00,1029913.55,1008,0,24,20,286
16/1/2021 16:00,1023863.55,1008,0,24,20,286
16/1/2021 17:00,1018913.55,1008,0,24,19,286
16/1/2021 18:00,1014513.55,1008,0,22,19,286
16/1/2021 19:00,1028813.55,1009,0,22,18,284
16/1/2021 20:00,1046413.55,1009,0,22,16,282
16/1/2021 21:00,1049713.55,1010,0,20,14,280
16/1/2021 22:00,1059063.55,1010,0,20,12,290
16/1/2021 23:00,1054113.55,1010,0,20,10,299
17/1/2021 0:00,1037613.55,1010,0,20,8,309
17/1/2021 1:00,1023313.55,1009,0,22,7,320
17/1/2021 2:00,1009013.55,1009,0,24,6,332
17/1/2021 3:00,995263.553,1009,0,26,5,343
17/1/2021 4:00,987013.553,1009,0,26,5,312
17/1/2021 5:00,989213.553,1009,0,24,4,281
17/1/2021 6:00,979863.553,1010,0,24,4,251
17/1/2021 7:00,972713.553,1010,0,24,5,208
17/1/2021 8:00,981513.553,1010,0,24,6,165
17/1/2021 9:00,990863.553,1011,0,26,6,123
17/1/2021 10:00,996913.553,1011,0,24,10,179
17/1/2021 11:00,999663.553,1010,0,24,14,235
17/1/2021 12:00,1004613.55,1010,0,24,17,291
17/1/2021 13:00,1007363.55,1009,0,24,20,292
17/1/2021 14:00,1009563.55,1008,0,22,23,292
17/1/2021 15:00,1007363.55,1008,0,22,26,292
17/1/2021 16:00,1004063.55,1008,0,20,25,291
17/1/2021 17:00,1004613.55,1008,0,20,24,291
17/1/2021 18:00,999663.553,1008,0,18,23,290
17/1/2021 19:00,1020563.55,1009,0,16,19,288
17/1/2021 20:00,1028813.55,1009,0,16,16,285
17/1/2021 21:00,1036513.55,1010,0,14,12,282
17/1/2021 22:00,1040363.55,1010,3,14,11,284
17/1/2021 23:00,1042563.55,1010,7,12,10,286
