,time,load_kw,pressure_kpa,cloud_cover,humidity,temperature_c,wind_direction,wind_speed_kmh,date,datetime,month,hour,type_of_day
0,2017-03-18 00:00:00,1031471.62805707,1012.48,2.125,79.33333333333333,16.76438621745121,285.25,6.253750000000001,2017-03-18,00:00:00,3,0,6
1,2017-03-18 01:00:00,1007205.57843707,1011.61875,0.0,82.16666666666666,15.72938621745121,285.0,9.205,2017-03-18,01:00:00,3,1,6
2,2017-03-18 02:00:00,986108.4007170697,1010.72,2.125,81.66666666666667,15.81688621745121,316.0,11.28375,2017-03-18,02:00:00,3,2,6
3,2017-03-18 03:00:00,970760.9669170699,1011.37625,17.125,82.25,15.91938621745121,327.0,7.168749999999999,2017-03-18,03:00:00,3,3,6
4,2017-03-18 04:00:00,962258.3650170699,1011.5,18.625,82.33333333333334,15.76938621745122,282.25,0.78,2017-03-18,04:00:00,3,4,6
5,2017-03-18 05:00:00,963847.9289570698,1011.03875,21.25,80.08333333333333,15.71188621745121,162.75,0.45125,2017-03-18,05:00:00,3,5,6
6,2017-03-18 06:00:00,971662.2228370699,1011.445,40.875,79.16666666666667,15.37438621745121,260.75,3.185,2017-03-18,06:00:00,3,6,6
7,2017-03-18 07:00:00,998667.4642770698,1011.5,44.0,81.41666666666667,13.50438621745121,231.75,3.985,2017-03-18,07:00:00,3,7,6
8,2017-03-18 08:00:00,1060601.55717707,1011.86875,44.0,77.41666666666667,15.83188621745121,268.375,5.28125,2017-03-18,08:00:00,3,8,6
9,2017-03-18 09:00:00,1141662.50979707,1013.41,44.0,74.33333333333333,19.36938621745121,289.375,7.133749999999999,2017-03-18,09:00:00,3,9,6
10,2017-03-18 10:00:00,1195234.88093707,1013.54,44.0,74.33333333333333,21.59438621745121,285.625,14.72375,2017-03-18,10:00:00,3,10,6
11,2017-03-18 11:00:00,1208175.00293707,1013.08625,44.0,76.25,22.38688621745121,279.375,16.63125,2017-03-18,11:00:00,3,11,6
12,2017-03-18 12:00:00,1216409.31893707,1013.58875,44.0,77.91666666666666,21.39188621745122,270.75,13.36375,2017-03-18,12:00:00,3,12,6
13,2017-03-18 13:00:00,1211771.52893707,1013.695,44.0,76.0,22.12938621745121,282.0,16.0625,2017-03-18,13:00:00,3,13,6
14,2017-03-18 14:00:00,1216184.22893707,1013.695,44.0,78.16666666666666,20.23188621745122,275.5,16.92375,2017-03-18,14:00:00,3,14,6
15,2017-03-18 15:00:00,1210429.86693707,1013.695,44.0,77.58333333333333,20.46688621745121,291.875,19.02125,2017-03-18,15:00:00,3,15,6
16,2017-03-18 16:00:00,1200877.59753707,1013.695,44.0,77.66666666666666,19.83688621745121,289.0,19.22875,2017-03-18,16:00:00,3,16,6
17,2017-03-18 17:00:00,1169031.23787707,1011.4275,44.0,79.91666666666667,19.56188621745121,272.25,17.79125,2017-03-18,17:00:00,3,17,6
18,2017-03-18 18:00:00,1150271.29025707,1010.19875,44.0,81.66666666666667,18.61938621745121,265.75,14.075,2017-03-18,18:00:00,3,18,6
19,2017-03-18 19:00:00,1126710.73273707,1010.315,44.0,82.58333333333334,17.84938621745122,270.0,14.98375,2017-03-18,19:00:00,3,19,6
